Date,Ozone,CO,NOx,MHC,NMHC,AT,RH,WS,WD,SR,NDays
2013-01-01 00:00:00,1.96,0.93,15.2,2483.2,152.8,16.1,91.5,0.7,306.0,63.4,1
2013-01-01 01:00:00,2.0,1.03,17.92,2481.1,171.32,15.9,93.2,0.3,335.0,62.5,1
2013-01-01 02:00:00,4.84,0.87,14.86,2585.6,136.57,16.1,93.7,2.9,306.0,62.4,1
2013-01-01 03:00:00,2.88,0.74,13.36,2416.1,102.97,15.8,93.7,2.9,307.0,62.3,1
2013-01-01 04:00:00,2.52,0.7,13.28,2415.8,101.62,15.3,94.6,3.2,305.0,62.3,1
2013-01-01 05:00:00,2.42,0.71,14.01,2401.3,110.6,14.6,94.6,4.0,307.0,62.3,1
2013-01-01 06:00:00,1.7,0.76,14.32,2422.6,125.37,14.7,94.6,2.7,307.0,62.3,1
2013-01-01 07:00:00,1.39,0.71,13.92,2415.2,118.0,14.6,94.6,2.5,296.0,62.3,1
2013-01-01 08:00:00,1.49,0.69,13.36,2396.5,114.69,14.3,94.5,3.2,282.0,62.3,1
2013-01-01 09:00:00,1.47,0.65,11.9,2411.1,110.54,14.3,94.5,2.0,304.0,62.2,1
2013-01-01 10:00:00,1.68,0.61,12.07,2413.4,105.58,14.2,94.5,1.7,291.0,62.3,1
2013-01-01 11:00:00,1.45,0.59,10.66,2419.0,92.48,14.0,94.5,1.2,310.0,62.3,1
2013-01-01 12:00:00,1.4,0.59,11.11,2416.3,96.19,14.0,94.5,1.3,164.0,62.4,1
2013-01-01 13:00:00,1.61,0.62,12.29,2419.8,101.4,14.0,94.5,0.7,272.0,62.9,1
2013-01-01 14:00:00,1.59,0.64,12.5,2426.8,105.31,14.2,94.5,0.2,313.0,74.0,1
2013-01-01 15:00:00,1.76,0.64,12.69,2422.6,120.59,14.3,94.5,0.7,268.0,109.9,1
2013-01-01 16:00:00,1.78,0.64,13.74,2428.5,122.34,14.7,92.9,0.9,181.0,142.1,1
2013-01-01 17:00:00,1.56,0.7,14.22,2425.4,130.25,14.9,93.0,1.4,130.0,157.4,1
2013-01-01 18:00:00,1.75,0.69,13.27,2509.2,124.97,15.2,91.6,1.2,169.0,200.9,1
2013-01-01 19:00:00,1.81,0.69,14.18,2374.0,120.99,15.5,88.8,1.6,114.0,213.1,1
2013-01-01 20:00:00,1.82,0.71,13.24,2373.0,119.12,15.5,89.5,1.8,119.0,190.9,1
2013-01-01 21:00:00,1.86,0.7,14.1,2349.7,117.0,15.7,88.9,1.3,110.0,154.9,1
2013-01-01 22:00:00,2.02,0.7,13.71,2333.7,118.57,15.8,88.3,1.0,101.0,131.8,1
2013-01-01 23:00:00,2.18,0.74,15.21,2337.1,126.86,15.8,88.7,0.7,89.0,92.3,1
2013-01-02 00:00:00,1.77,0.84,18.17,2333.8,143.29,15.2,91.6,0.2,90.0,63.4,2
2013-01-02 01:00:00,1.94,0.99,18.45,2408.2,172.74,14.4,94.4,0.2,233.0,62.4,2
2013-01-02 02:00:00,3.06,0.96,17.51,2530.4,176.84,14.1,94.5,0.4,325.0,62.4,2
2013-01-02 03:00:00,1.95,0.88,16.09,2445.0,158.23,14.1,94.5,0.4,314.0,62.5,2
2013-01-02 04:00:00,1.83,0.76,15.62,2398.4,119.64,14.8,94.6,1.9,293.0,62.3,2
2013-01-02 05:00:00,1.77,0.74,16.13,2380.0,104.22,15.0,94.6,2.2,298.0,62.3,2
2013-01-02 06:00:00,1.42,0.74,14.54,2392.0,104.54,15.0,94.6,1.4,298.0,62.3,2
2013-01-02 07:00:00,1.64,0.72,13.46,2374.0,92.96,14.8,94.6,1.5,280.0,62.3,2
2013-01-02 08:00:00,1.62,0.69,12.77,2346.4,81.45,14.5,94.6,1.5,264.0,62.3,2
2013-01-02 09:00:00,1.78,0.65,12.88,2324.8,76.37,14.2,94.5,1.7,303.0,62.3,2
2013-01-02 10:00:00,2.15,0.61,12.32,2306.9,80.63,13.8,94.5,3.2,300.0,62.2,2
2013-01-02 11:00:00,2.23,0.56,11.21,2293.9,72.56,13.7,94.4,2.8,304.0,62.2,2
2013-01-02 12:00:00,1.89,0.53,11.25,2275.1,70.38,13.6,94.4,3.2,287.0,62.2,2
2013-01-02 13:00:00,2.05,0.56,12.77,2295.6,81.44,13.6,94.4,2.8,314.0,62.4,2
2013-01-02 14:00:00,2.02,0.6,13.57,2329.6,88.83,13.8,94.4,2.3,265.0,69.8,2
2013-01-02 15:00:00,2.11,0.56,12.43,2309.3,80.33,13.9,94.5,1.7,299.0,97.7,2
2013-01-02 16:00:00,2.13,0.55,12.05,2272.4,76.67,14.2,93.6,2.0,284.0,145.6,2
2013-01-02 17:00:00,2.3,0.52,11.96,2268.8,67.95,14.5,91.7,2.1,303.0,181.8,2
2013-01-02 18:00:00,3.39,0.49,11.85,2358.0,68.43,14.9,89.0,2.1,306.0,258.6,2
2013-01-02 19:00:00,3.03,0.53,13.24,2249.2,76.6,15.3,86.5,2.6,274.0,333.7,2
2013-01-02 20:00:00,2.92,0.54,12.99,2259.4,79.03,15.9,83.7,2.6,285.0,337.0,2
2013-01-02 21:00:00,3.05,0.54,12.49,2237.8,68.29,16.3,83.0,3.0,314.0,321.1,2
2013-01-02 22:00:00,2.81,0.55,12.01,2221.3,65.79,16.8,82.1,2.2,302.0,208.2,2
2013-01-02 23:00:00,2.19,0.6,12.78,2256.4,72.95,16.1,86.8,1.3,294.0,104.9,2
2013-01-03 00:00:00,1.44,0.68,13.88,2318.8,94.12,15.0,93.0,1.2,299.0,62.8,3
2013-01-03 01:00:00,1.79,0.9,14.62,2392.1,127.72,14.5,94.5,0.8,305.0,61.6,3
2013-01-03 02:00:00,3.76,0.91,14.35,2523.2,138.27,14.3,94.5,1.2,315.0,61.6,3
2013-01-03 03:00:00,1.77,0.91,15.43,2469.2,144.24,13.9,94.4,1.7,309.0,62.0,3
2013-01-03 04:00:00,1.78,0.73,15.08,2440.0,99.36,14.1,94.5,3.0,319.0,61.8,3
2013-01-03 05:00:00,3.23,0.63,13.72,2342.3,87.9,14.6,94.5,4.7,308.0,61.8,3
2013-01-03 06:00:00,2.99,0.56,13.16,2281.9,66.11,14.6,94.5,4.5,301.0,61.8,3
2013-01-03 07:00:00,3.28,0.56,13.25,2283.1,76.97,14.4,94.5,4.4,310.0,61.9,3
2013-01-03 08:00:00,3.17,0.59,12.97,2280.6,88.84,14.2,94.5,4.3,313.0,61.8,3
2013-01-03 09:00:00,3.31,0.52,12.06,2273.8,80.95,14.1,94.5,3.8,290.0,61.8,3
2013-01-03 10:00:00,2.74,0.49,11.72,2292.7,80.35,13.8,94.4,3.5,312.0,61.9,3
2013-01-03 11:00:00,2.67,0.51,11.94,2327.4,89.18,13.4,94.4,3.3,301.0,61.8,3
2013-01-03 12:00:00,1.92,0.52,12.62,2346.5,88.65,13.2,94.4,2.0,274.0,61.9,3
2013-01-03 13:00:00,1.4,0.53,13.04,2352.0,90.69,13.1,94.3,2.3,312.0,62.3,3
2013-01-03 14:00:00,1.43,0.52,13.13,2346.7,92.27,13.0,94.3,1.5,316.0,75.0,3
2013-01-03 15:00:00,0.98,0.5,12.85,2345.2,95.5,13.1,94.4,1.5,282.0,99.4,3
2013-01-03 16:00:00,1.91,0.57,11.43,2368.8,92.52,13.4,94.4,0.9,301.0,128.7,3
2013-01-03 17:00:00,1.96,0.56,8.72,2398.9,84.56,13.6,94.4,1.5,300.0,140.3,3
2013-01-03 18:00:00,2.28,0.46,9.23,2482.8,86.25,13.9,94.3,2.2,231.0,187.0,3
2013-01-03 19:00:00,2.2,0.55,9.37,2391.8,91.18,14.4,92.0,1.8,236.0,218.6,3
2013-01-03 20:00:00,2.35,0.55,9.57,2393.1,89.97,15.0,89.0,1.2,312.0,228.1,3
2013-01-03 21:00:00,2.76,0.51,8.85,2381.6,81.71,15.6,85.2,1.0,288.0,268.1,3
2013-01-03 22:00:00,2.63,0.5,8.69,2369.6,72.96,15.4,86.4,0.8,313.0,176.8,3
2013-01-03 23:00:00,2.75,0.52,8.87,2362.8,83.34,15.0,89.4,0.4,293.0,103.3,3
2013-01-04 00:00:00,2.03,0.63,10.92,2374.7,107.16,14.3,93.9,0.1,297.0,62.5,4
2013-01-04 01:00:00,1.83,0.71,11.72,2395.3,102.87,14.2,94.5,0.4,316.0,61.6,4
2013-01-04 02:00:00,3.73,0.81,11.75,2529.0,120.22,13.6,94.4,0.2,320.0,61.7,4
2013-01-04 03:00:00,1.86,0.85,13.11,2496.2,128.72,13.1,94.3,0.0,319.0,61.7,4
2013-01-04 04:00:00,1.76,1.0,12.7,2607.8,159.64,12.7,94.3,0.0,319.0,61.7,4
2013-01-04 05:00:00,1.12,0.98,12.56,2712.1,161.27,12.1,94.2,0.3,320.0,61.9,4
2013-01-04 06:00:00,1.67,0.82,12.07,2751.7,136.09,11.8,94.1,0.3,321.0,61.9,4
2013-01-04 07:00:00,1.32,0.73,12.84,2636.3,114.84,12.4,94.2,0.5,314.0,62.0,4
2013-01-04 08:00:00,1.18,0.71,12.84,2590.5,116.3,12.8,94.3,1.8,309.0,61.9,4
2013-01-04 09:00:00,1.67,0.66,12.44,2458.0,97.18,13.1,94.3,3.5,311.0,61.9,4
2013-01-04 10:00:00,1.05,0.67,12.11,2418.6,105.16,13.0,94.3,2.3,297.0,61.8,4
2013-01-04 11:00:00,1.69,0.67,11.84,2407.3,110.01,13.0,94.3,1.9,302.0,61.9,4
2013-01-04 12:00:00,1.34,0.64,11.8,2396.1,109.36,12.9,94.3,1.5,292.0,61.9,4
2013-01-04 13:00:00,1.65,0.61,11.94,2386.6,104.99,12.6,94.3,2.8,303.0,62.0,4
2013-01-04 14:00:00,1.56,0.62,11.72,2401.3,116.75,12.4,94.2,2.5,310.0,74.4,4
2013-01-04 15:00:00,2.02,0.61,12.13,2390.9,109.31,12.4,94.3,1.7,272.0,112.0,4
2013-01-04 16:00:00,1.78,0.59,11.56,2379.6,115.25,12.7,94.3,0.9,240.0,153.8,4
2013-01-04 17:00:00,2.35,0.63,11.77,2388.7,120.75,13.2,94.4,1.1,299.0,205.2,4
2013-01-04 18:00:00,2.38,0.62,10.84,2523.2,118.08,13.6,93.6,1.2,303.0,206.3,4
2013-01-04 19:00:00,2.73,0.57,9.53,2399.7,107.78,14.2,90.0,1.8,271.0,282.8,4
2013-01-04 20:00:00,2.91,0.54,8.48,2389.3,91.58,15.1,85.2,2.2,232.0,457.7,4
2013-01-04 21:00:00,4.12,0.55,10.85,2397.2,87.25,16.1,81.3,2.2,227.0,389.5,4
2013-01-04 22:00:00,3.09,0.54,9.52,2399.6,90.07,16.5,80.2,1.5,214.0,223.1,4
2013-01-04 23:00:00,2.07,0.63,14.74,2400.2,101.86,15.5,86.4,1.2,119.0,108.3,4
2013-01-05 00:00:00,1.45,0.82,17.75,2413.5,157.11,14.5,92.5,0.0,11.0,62.7,5
2013-01-05 01:00:00,1.33,1.11,17.89,2477.1,219.18,14.2,94.3,0.1,116.0,61.5,5
2013-01-05 02:00:00,3.51,1.05,21.14,2554.1,180.42,14.1,94.3,0.0,344.0,61.5,5
2013-01-05 03:00:00,2.26,0.9,18.19,2481.7,150.4,13.5,94.4,0.7,312.0,61.6,5
2013-01-05 04:00:00,1.71,0.75,16.13,2480.5,115.26,13.6,94.4,1.0,313.0,61.6,5
2013-01-05 05:00:00,2.26,0.57,13.68,2340.4,83.59,13.9,94.4,2.8,318.0,61.6,5
2013-01-05 06:00:00,2.66,0.6,12.55,2313.5,81.44,14.1,93.8,3.1,315.0,61.5,5
2013-01-05 07:00:00,2.35,0.62,12.03,2341.9,89.16,14.0,93.2,3.1,309.0,61.5,5
2013-01-05 08:00:00,2.5,0.58,11.49,2337.5,78.68,13.8,93.6,2.6,276.0,61.6,5
2013-01-05 09:00:00,2.22,0.56,11.1,2353.8,82.06,13.6,94.0,2.4,288.0,61.6,5
2013-01-05 10:00:00,2.11,0.55,11.31,2362.9,88.28,13.3,94.1,1.7,294.0,61.6,5
2013-01-05 11:00:00,2.03,0.56,11.09,2360.5,87.76,13.2,94.2,1.7,295.0,61.6,5
2013-01-05 12:00:00,1.49,0.55,11.53,2359.5,87.1,13.1,94.0,0.5,293.0,61.6,5
